iteration,loss,training_acc,test_acc
141,0.6934174576823267,0.75,0.75
142,0.7499936408565346,0.75,0.75
143,0.6938051160510313,0.75,0.75
144,0.7108324945745627,0.75,0.75
145,0.6906260077990836,0.75,0.75
146,0.7152329752280693,0.75,0.75
147,0.6901288293441719,0.75,0.75
148,0.6971151465942973,0.75,0.75
149,0.6986323500131815,0.75,0.75
150,0.7320013068809428,0.75,0.75
151,0.6928379168446701,0.75,0.75
152,0.8356519090491534,0.625,0.625
153,0.7387153800404287,0.75,0.75
154,0.7304628658067399,0.640625,0.625
155,0.7019140337633616,0.75,0.75
156,0.7837017550108607,0.75,0.75
157,0.696338837439926,0.75,0.75
158,0.901521245334062,0.625,0.625
159,0.686818945764636,0.75,0.75
160,0.7429456743510919,0.75,0.75
161,0.690871682635224,0.75,0.75
162,0.7225005017207309,0.75,0.75
163,0.6951762837798848,0.75,0.75
164,0.7452509212373692,0.75,0.75
165,0.6957435049950396,0.75,0.75
166,0.7125452717779055,0.625,0.625
167,0.6886107171577338,0.75,0.75
168,0.7206773059840039,0.75,0.75
169,0.6907896560956086,0.75,0.75
170,0.7637726451312037,0.75,0.75
171,0.7306006232963437,0.75,0.75
172,0.7238004700251706,0.75,0.75
173,0.7054341461037572,0.75,0.75
174,0.7554187451690836,0.75,0.75
175,0.686818945764636,0.75,0.75
176,0.7123764897176701,0.75,0.75
177,0.6868189457646359,0.75,0.75
178,0.7173535227404173,0.75,0.75
179,0.6753862671890664,0.75,0.75
180,0.7260196294503207,0.75,0.75
181,0.7283135165829213,0.75,0.75
182,0.710782118833738,0.75,0.75
183,0.6835042271810714,0.75,0.75
184,0.7267313533343347,0.75,0.75
185,0.6834371648987291,0.75,0.75
186,0.7349848178464808,0.75,0.75
187,0.6785548784089738,0.75,0.75
188,0.6817377816786664,0.75,0.75
189,0.7029670231340934,0.75,0.75
190,0.7101250418043301,0.75,0.75
191,0.7189620199367692,0.75,0.75
192,0.6753862671890665,0.75,0.75
193,0.7039729483541248,0.765625,0.75
194,0.6753862671890662,0.75,0.75
195,0.6906994070616543,0.75,0.75
196,0.6753862671890662,0.75,0.75
197,0.663056099004634,0.75,0.75
198,0.663056099004634,0.75,0.75
199,0.6856354078684642,0.75,0.75
200,0.6628123534090927,0.75,0.75
201,0.7054188502762848,0.75,0.75
202,0.6627686180633017,0.75,0.75
203,0.7006814323537869,0.765625,0.8125
204,0.6602142862539606,0.75,0.75
205,0.6725345928687874,0.75,0.75
206,0.6627316970454806,0.75,0.75
207,0.6598747047005379,0.75,0.75
208,0.6598657304534881,0.75,0.75
