iteration,loss,training_acc,test_acc
159,0.784557633464644,0.609375,0.625
160,0.7646775962478308,0.75,0.6875
161,0.7663243457571779,0.8125,0.75
162,0.7676171713342211,0.75,0.6875
163,0.7731355345937014,0.671875,0.625
164,0.7688315855599608,0.640625,0.625
165,0.8021579082183179,0.625,0.625
166,0.7660336277717555,0.78125,0.75
167,0.7959790561987617,0.625,0.625
168,0.7729428295328984,0.75,0.75
169,0.7715911094868007,0.75,0.75
170,0.7584051877153853,0.78125,0.75
171,0.7704901363655589,0.640625,0.6875
172,0.7720261777057653,0.78125,0.8125
173,0.7942734298337922,0.765625,0.8125
174,0.7680990917479289,0.71875,0.625
175,0.761014675584338,0.765625,0.75
176,0.7667121943799827,0.671875,0.625
177,0.7593707869050408,0.8125,0.75
178,0.760285447120598,0.625,0.625
179,0.7586177671390679,0.734375,0.75
180,0.7660140708990295,0.640625,0.625
181,0.7617759927176226,0.765625,0.625
182,0.7622291567375592,0.65625,0.6875
183,0.7586312228656167,0.625,0.625
184,0.7781523803623982,0.75,0.75
185,0.761851762524103,0.640625,0.625
186,0.7587301617977686,0.671875,0.6875
187,0.7582042456188658,0.75,0.625
188,0.8335163957936527,0.625,0.625
189,0.7696777521516437,0.75,0.75
190,0.777157865778423,0.75,0.6875
191,0.7691044931998716,0.625,0.625
192,0.7636114203080145,0.765625,0.8125
193,0.7612171715477407,0.75,0.6875
194,0.7761638846688599,0.75,0.75
195,0.7588684887212767,0.859375,0.8125
196,0.7682066356045039,0.75,0.75
197,0.759265452545113,0.640625,0.625
198,0.7765636298780143,0.625,0.625
199,0.7583173957389163,0.78125,0.6875
200,0.7704033785333684,0.625,0.625
201,0.7584829908678028,0.78125,0.625
202,0.7691621924944367,0.859375,0.8125
203,0.7575689301135526,0.75,0.625
204,0.7708096405413443,0.78125,0.75
205,0.7591727418362497,0.671875,0.625
206,0.7645552068948724,0.671875,0.625
207,0.7569835053379695,0.765625,0.625
208,0.7597809995634389,0.859375,0.6875
209,0.7588027750080069,0.734375,0.6875
210,0.7551466969511786,0.75,0.8125
211,0.7587121222365834,0.734375,0.8125
212,0.7589873656092699,0.765625,0.8125
213,0.7551358265699282,0.765625,0.8125
214,0.7762210512305473,0.75,0.75
215,0.7557041466478229,0.765625,0.8125
216,0.7728665356249997,0.625,0.625
217,0.763053630625732,0.890625,0.75
218,0.7541964242805717,0.75,0.75
219,0.7611568499803177,0.75,0.75
220,0.7789840686742564,0.75,0.75
